NOC,Year,Gold_Medal_Count,Silver_Medal_Count,Bronze_Medal_Count,Medal_Count
AFG,1936,0,0,0,16
AFG,1948,0,0,0,25
AFG,1956,0,0,0,12
AFG,1960,0,0,0,16
AFG,1964,0,0,0,8
AFG,1968,0,0,0,5
AFG,1972,0,0,0,8
AFG,1980,0,0,0,11
AFG,1988,0,0,0,5
AFG,1996,0,0,0,2
AFG,2004,0,0,0,5
AFG,2008,0,0,1,4
AFG,2012,0,0,1,6
AFG,2016,0,0,0,3
AHO,1952,0,0,0,11
AHO,1960,0,0,0,5
AHO,1964,0,0,0,4
AHO,1968,0,0,0,5
AHO,1972,0,0,0,2
AHO,1976,0,0,0,4
AHO,1984,0,0,0,13
AHO,1988,0,1,0,4
AHO,1992,0,0,0,4
AHO,1996,0,0,0,7
AHO,2000,0,0,0,8
AHO,2004,0,0,0,3
AHO,2008,0,0,0,4
ALB,1972,0,0,0,5
ALB,1992,0,0,0,9
ALB,1996,0,0,0,9
ALB,2000,0,0,0,5
ALB,2004,0,0,0,7
ALB,2008,0,0,0,12
ALB,2012,0,0,0,10
ALB,2016,0,0,0,6
ALG,1964,0,0,0,7
ALG,1968,0,0,0,9
ALG,1972,0,0,0,7
ALG,1980,0,0,0,63
ALG,1984,0,0,2,33
ALG,1988,0,0,0,45
ALG,1992,1,0,1,36
ALG,1996,2,0,1,47
ALG,2000,1,1,3,51
ALG,2004,0,0,0,71
ALG,2008,0,1,1,57
ALG,2012,1,0,0,39
ALG,2016,0,2,0,74
AND,1976,0,0,0,3
AND,1980,0,0,0,2
AND,1984,0,0,0,2
AND,1988,0,0,0,4
AND,1992,0,0,0,8
AND,1996,0,0,0,8
AND,2000,0,0,0,5
AND,2004,0,0,0,6
AND,2008,0,0,0,5
AND,2012,0,0,0,6
AND,2016,0,0,0,4
ANG,1980,0,0,0,17
ANG,1988,0,0,0,33
ANG,1992,0,0,0,33
ANG,1996,0,0,0,30
ANG,2000,0,0,0,30
ANG,2004,0,0,0,30
ANG,2008,0,0,0,33
ANG,2012,0,0,0,35
ANG,2016,0,0,0,26
ANT,1976,0,0,0,17
ANT,1984,0,0,0,27
ANT,1988,0,0,0,25
ANT,1992,0,0,0,18
ANT,1996,0,0,0,19
ANT,2000,0,0,0,4
ANT,2004,0,0,0,5
ANT,2008,0,0,0,5
ANT,2012,0,0,0,4
ANT,2016,0,0,0,9
ANZ,1908,15,2,2,48
ANZ,1912,5,2,3,38
ARG,1900,0,0,0,1
ARG,1908,0,0,0,1
ARG,1920,0,0,0,1
ARG,1924,5,3,2,109
ARG,1928,3,18,5,98
ARG,1932,3,1,0,47
ARG,1936,5,2,4,68
ARG,1948,3,7,1,295
ARG,1952,2,2,2,174
ARG,1956,0,1,1,44
ARG,1960,0,3,1,116
ARG,1964,0,1,0,148
ARG,1968,0,0,2,132
ARG,1972,0,1,0,123
ARG,1976,0,0,0,106
ARG,1984,0,0,0,115
ARG,1988,0,1,12,134
ARG,1992,0,0,2,111
ARG,1996,0,19,1,221
ARG,2000,0,17,3,165
ARG,2004,28,0,21,179
ARG,2008,20,0,31,145
ARG,2012,1,15,3,148
ARG,2016,21,1,0,232
ARM,1996,1,1,0,38
ARM,2000,0,0,1,26
ARM,2004,0,0,0,19
ARM,2008,0,0,6,26
ARM,2012,0,1,2,31
ARM,2016,1,3,0,34
ARU,1988,0,0,0,12
ARU,1992,0,0,0,5
ARU,1996,0,0,0,3
ARU,2000,0,0,0,5
ARU,2004,0,0,0,4
ARU,2008,0,0,0,2
ARU,2012,0,0,0,4
ARU,2016,0,0,0,7
ASA,1988,0,0,0,6
ASA,1992,0,0,0,3
ASA,1996,0,0,0,7
ASA,2000,0,0,0,4
ASA,2004,0,0,0,3
ASA,2008,0,0,0,4
ASA,2012,0,0,0,4
ASA,2016,0,0,0,4
AUS,1896,2,0,1,5
AUS,1900,3,0,3,6
AUS,1904,0,3,1,6
AUS,1906,0,0,3,10
AUS,1920,0,6,1,29
AUS,1924,3,5,2,60
AUS,1928,1,2,1,29
AUS,1932,3,1,1,20
AUS,1936,0,0,1,39
AUS,1948,2,9,5,103
AUS,1952,7,2,11,140
AUS,1956,28,13,26,412
AUS,1960,11,24,11,280
AUS,1964,8,6,30,392
AUS,1968,5,35,11,224
AUS,1972,11,7,2,266
AUS,1976,0,15,8,274
AUS,1980,6,2,5,190
AUS,1984,7,14,31,337
AUS,1988,18,6,11,339
AUS,1992,14,27,16,390
AUS,1996,32,16,84,550
AUS,2000,60,69,54,788
AUS,2004,49,77,31,601
AUS,2008,31,42,76,570
AUS,2012,18,37,59,514
AUS,2016,23,34,25,518
AUT,1896,2,1,2,8
AUT,1900,0,3,3,26
AUT,1904,2,1,1,7
AUT,1906,3,3,3,100
AUT,1908,0,0,1,13
AUT,1912,0,9,5,132
AUT,1924,0,3,1,56
AUT,1928,3,0,2,113
AUT,1932,1,1,3,33
AUT,1936,6,42,7,363
AUT,1948,2,2,4,239
AUT,1952,0,1,2,238
AUT,1956,0,0,4,57
AUT,1960,1,2,0,198
AUT,1964,0,0,0,82
AUT,1968,0,2,3,59
AUT,1972,0,1,2,143
AUT,1976,0,0,1,73
AUT,1980,1,3,1,92
AUT,1984,1,1,1,130
AUT,1988,1,0,0,96
AUT,1992,0,6,0,127
AUT,1996,0,1,2,92
AUT,2000,3,1,0,114
AUT,2004,3,4,1,92
AUT,2008,0,1,2,93
AUT,2012,0,0,0,90
AUT,2016,0,0,2,85
AZE,1996,0,1,0,24
AZE,2000,2,0,1,32
AZE,2004,1,0,4,37
AZE,2008,1,2,4,44
AZE,2012,2,2,6,59
AZE,2016,1,7,10,69
BAH,1952,0,0,0,7
BAH,1956,0,0,2,5
BAH,1960,0,0,0,14
BAH,1964,2,0,0,12
BAH,1968,0,0,0,22
BAH,1972,0,0,0,25
BAH,1976,0,0,0,19
BAH,1984,0,0,0,31
BAH,1988,0,0,0,18
BAH,1992,0,0,1,18
BAH,1996,0,5,0,36
BAH,2000,6,0,5,39
BAH,2004,1,0,1,28
BAH,2008,0,6,1,33
BAH,2012,4,0,0,29
BAH,2016,1,0,5,38
BAN,1984,0,0,0,2
BAN,1988,0,0,0,11
BAN,1992,0,0,0,9
BAN,1996,0,0,0,4
BAN,2000,0,0,0,6
BAN,2004,0,0,0,4
BAN,2008,0,0,0,5
BAN,2012,0,0,0,7
BAN,2016,0,0,0,7
BAR,1968,0,0,0,13
BAR,1972,0,0,0,20
BAR,1976,0,0,0,17
BAR,1984,0,0,0,25
BAR,1988,0,0,0,26
BAR,1992,0,0,0,22
BAR,1996,0,0,0,22
BAR,2000,0,0,1,28
BAR,2004,0,0,0,15
BAR,2008,0,0,0,10
BAR,2012,0,0,0,8
BAR,2016,0,0,0,13
BDI,1996,1,0,0,7
BDI,2000,0,0,0,6
BDI,2004,0,0,0,7
BDI,2008,0,0,0,3
BDI,2012,0,0,0,6
BDI,2016,0,1,0,10
BEL,1900,6,24,13,100
BEL,1906,2,3,6,31
BEL,1908,1,24,8,99
BEL,1912,7,1,11,72
BEL,1920,57,65,66,518
BEL,1924,3,30,6,234
BEL,1928,0,1,4,260
BEL,1932,0,0,1,69
BEL,1936,0,0,14,205
BEL,1948,5,2,8,182
BEL,1952,5,3,0,184
BEL,1956,0,2,0,82
BEL,1960,0,2,2,150
BEL,1964,2,0,1,74
BEL,1968,0,1,2,106
BEL,1972,0,2,0,106
BEL,1976,0,3,6,149
BEL,1980,1,0,0,84
