Name,Bronze,Gold,Silver,Total
Paavo Johannes Nurmi,0,9,3,12
Frederick Carlton "Carl" Lewis,0,9,1,10
Raymond Clarence "Ray" Ewry,0,10,0,10
Allyson Michelle Felix,0,6,3,9
Martin Joseph Sheridan,1,5,3,9
Merlene Joyce Ottey-Page,6,0,3,9
Usain St. Leo Bolt,0,8,0,8
Veronica Angella Campbell-Brown,2,3,3,8
Viljo Eino "Ville" Ritola (Koukkari-),0,5,3,8
Irena Szewiska-Kirszenstein,2,3,2,7
Shirley Barbara Strickland de la Hunty,3,3,1,7
Eric Otto Valdemar Lemming,2,4,0,6
Jacqueline "Jackie" Joyner-Kersee,2,3,1,6
James Davies "Jim" Lightbody,0,4,2,6
Ralph Waldo Rose,1,3,2,6
Renate Stecher (Meiner-),1,3,2,6
Robert "Bob" Garrett,2,2,2,6
Shelly-Ann Fraser-Pryce,1,2,3,6
Tirunesh Dibaba Keneni,3,3,0,6
Delorez Florence Griffith Joyner,0,3,2,5
Emil Edvin Wide (Hermansson-),4,0,1,5
Emil Ztopek,0,4,1,5
Evelyn Ashford (-Washington),0,4,1,5
"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",1,3,1,5
Heike Gabriela Drechsler (Daute-),2,2,1,5
Irving Knott "Irv" Baxter,0,2,3,5
Johan Pietari "Hannes" Kolehmainen,0,4,1,5
Justin Alexander Gatlin,2,1,2,5
Malvin Groston "Mal" Whitfield,1,3,1,5
Melvin Winfield "Mel" Sheppard,0,4,1,5
Meyer Prinstein,0,4,1,5
Philip Aron "Phil" Edwards,5,0,0,5
Sanya Richards-Ross,1,4,0,5
Tatyana Romanovna Lebedeva,1,1,3,5
Valeriy Pylypovych Borzov,2,2,1,5
Walter Beardsley Tewksbury,1,2,2,5
Alain (Ali-) Mimoun Ould Kacha,0,1,3,4
Alexander Sheldon "Alex" Wilson,3,0,1,4
"Alfred Adolph ""Al"" Oerter, Jr.",0,4,0,4
Alvin Christian "Al" Kraenzlein,0,4,0,4
"Angelo F. Taylor, Jr.",0,3,1,4
Annegret Richter (Irrgang-),0,2,2,4
Arthur Stanley Wint,0,2,2,4
Ato Jabari Boldon,3,0,1,4
Brbel Eckert-Wckel,0,4,0,4
Charles Archibald "Archie" Hahn,0,4,0,4
Charles William "Charley" Paddock,0,2,2,4
Christina Brehmer-Lathan,1,1,2,4
Christopher Deon "Chris" Brown,2,1,1,4
Donald O'Reilly "Don" Quarrie,1,1,2,4
Elizabeth Alyse "Betty" Cuthbert,0,4,0,4
Elmer Konstantin Niklander,1,1,2,4
Eric Natanael Backman,3,0,1,4
Francina Elsje "Fanny" Blankers-Koen,0,4,0,4
Frank "Frankie" Fredericks,0,0,4,4
Guy Montagu Butler,2,1,1,4
"Harry Livingston Hillman, Jr.",0,3,1,4
Herbert Henry "Herb" McKenley,0,1,3,4
Irina Anatolyevna Privalova (Sergeyeva-),2,1,1,4
James Brendan Bennet Connolly,1,1,2,4
James Cleveland "Jesse" Owens,0,4,0,4
Jan elezn,0,3,1,4
Jared Tallent,1,0,3,4
Jeremy Matthew Wariner,0,3,1,4
John Joseph Flanagan,0,3,1,4
Kenenisa Bekele Beyecha,0,3,1,4
Kipchoge Hezekieh "Kip" Keino,0,2,2,4
Konstantinos "Kostas" Tsiklitiras,1,1,2,4
LaShawn Merritt,1,3,0,4
Lasse Artturi Virn,0,4,0,4
Marlies Oelsner-Ghr,0,2,2,4
Maurice Greene,1,2,1,4
Michael Duane Johnson,0,4,0,4
Mohamad Tlili ben Abdallah Gammoudi,1,1,2,4
Mohamed Muktar Jama "Mo" Farah,0,4,0,4
Nataliya Nikolayevna Antyukh,1,1,2,4
