Name,Bronze,Gold,Silver,Total
"Michael Fred Phelps, II",2,23,3,28
"Dara Grace Torres (-Hoffman, -Minas)",4,4,4,12
Jennifer Elisabeth "Jenny" Thompson (-Cumpelik),1,8,3,12
Natalie Anne Coughlin (-Hall),5,3,4,12
Ryan Steven Lochte,3,6,3,12
Mark Andrew Spitz,1,9,1,11
Matthew Nicholas "Matt" Biondi,1,8,2,11
Franziska van Almsick,6,0,4,10
"Gary Wayne Hall, Jr.",2,5,3,10
Aleksandr Vladimirovich Popov,0,4,5,9
Ian James Thorpe,1,5,3,9
Leisel Marie Jones,1,3,5,9
Shirley Frances Babashoff,0,3,6,9
Zoltn Imre dn von Halmay,1,3,5,9
Allison Rodgers Schmitt,2,4,2,8
Charles Meldrum "Charlie" Daniels,2,5,1,8
Dawn Lorraine Fraser,0,4,4,8
Donald Arthur "Don" Schollander,0,7,1,8
Henry Taylor,3,4,1,8
Inge de Bruijn,2,4,2,8
Jason Edward Lezak,2,4,2,8
"Kornelia Ender (-Matthes, -Grummt)",0,4,4,8
Nathan Ghar-Jun Adrian,2,5,1,8
Petria Ann Thomas (-Jones),1,3,4,8
Roland Matthes,2,4,2,8
Susan "Susie" O'Neill,2,2,4,8
Aaron Wells Peirsol,0,5,2,7
Amanda Ray Beard (-Brown),1,2,4,7
Dagmar Hase,1,1,5,7
Dana Whitney Vollmer (-Grant),1,5,1,7
Grant George Hackett,1,3,3,7
Kirsty Leigh Coventry (-Seward),1,2,4,7
Kosuke Kitajima,2,4,1,7
Krisztina Egerszegi,1,5,1,7
Lisbeth Constance "Libby" Lenton-Trickett,2,4,1,7
Pieter Cornelis Martijn van den Hoogenband,2,3,2,7
Thomas Michael "Tom" Jager,1,5,1,7
Amy Deloris Van Dyken (-Rouen),0,6,0,6
Andrea Pollack (-Pinske),0,3,3,6
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",3,3,0,6
Brendan Joseph Hansen,2,3,1,6
Daniela Hunger,3,2,1,6
Francis Joseph Edmund "Frank" De Beaurepaire,3,0,3,6
Iain Murray Rose,1,4,1,6
John Frederick Hencken,1,4,1,6
Kathleen Genevieve "Katie" Ledecky,0,5,1,6
Kristin Otto,0,6,0,6
"Lszl Cseh, Jr.",2,0,4,6
Matthew "Matt" Grevers,0,4,2,6
Melissa Jeanette "Missy" Franklin,1,5,0,6
Michael George Klim,1,2,3,6
Michael Gro,1,3,2,6
Rebecca Soni,0,3,3,6
Sun Yang,1,3,2,6
ZHANG Yufei,5,0,1,6
Alicia Jayne Coutts,1,1,3,5
Anders Sren Holmertz (Johansson-),1,0,4,5
Andrew Murray "Boy" Charlton,1,1,3,5
Antje Buschschulte (-Meeuw),5,0,0,5
Brittany Joyce Elmslie,0,2,3,5
Cate Natalie Campbell,2,2,1,5
Claes Arne Borg,2,1,2,5
Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,0,3,2,5
Emily Jane Seebohm,0,2,3,5
HUSKE Torri,0,3,2,5
Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),2,1,2,5
Ian Lowell Crocker,1,3,1,5
Ines Diers (-Noack),1,2,2,5
Jan Margo Henne (-Hawkins),1,3,1,5
Janet Beth Evans,0,4,1,5
John Arthur Jarvis,2,2,1,5
John Phillips Naber,0,4,1,5
Jon C. Olsen,1,4,0,5
Joshua Clark "Josh" Davis,0,3,2,5
Klete D. Keller,2,2,1,5
MARCHAND Leon,1,4,0,5
Mary Terstegge Meagher (-Plant),1,3,1,5
McKEOWN Kaylee,2,2,1,5
Melanie Rene "Mel" Schlanger (-Wright),1,2,2,5
O'CALLAGHAN Mollie,1,3,1,5
"Pedro Pablo Morales, Jr.",0,3,2,5
Peter Johann "Johnny" Weissmuller,0,5,0,5
SMITH Regan,0,2,3,5
"Shane Elizabeth Gould (-Innis, -Nelms)",1,3,1,5
Stephen Edward "Steve" Clark,0,5,0,5
Tsuyoshi Yamanaka,1,0,4,5
Yana Oleksandrivna Klochkova,0,4,1,5
Alain Andr Louis Edmond Bernard,1,2,1,4
Amanda Jo Weir (-Davis),1,0,3,4
Amaury Raymond Leveaux,0,1,3,4
Andrey Ivanovich Krylov,0,1,3,4
Anthony Lee Ervin,0,3,1,4
Birgit Treiber (-Beinroth),1,1,2,4
Bronte Amelia Arnold Barratt,1,1,2,4
Caren Metschuck (-Mahn),0,3,1,4
Chad Guy Bertrand le Clos,0,1,3,4
Charles Buchanan "Charlie" Hickcox,0,3,1,4
Cullen Andrew Jones,0,2,2,4
DOUGLASS Kate,0,2,2,4
Daniel Steven Kowalski,2,1,1,4
David Charles "Dave" Berkoff,1,2,1,4
Eleanor Agnes Garatti-Saville,1,2,1,4
Eleanor Suzanne "Ellie" Daniel (-Drye),2,1,1,4
Emil A. Rausch,1,2,1,4
Emma McKeon,1,1,2,4
Ford Hiroshi Konno,0,2,2,4
Francis "Frank" Gailey,1,0,3,4
Frank Wiegand,0,0,4,4
"Gary Wayne Hall, Sr.",1,1,2,4
Gennady Sergeyevich Prigoda,2,0,2,4
George Thomas Breen,3,0,1,4
Georgijs Kuikovs,2,0,2,4
Gillian "Jill" Sterkel,2,2,0,4
Gustavo Frana Borges,2,0,2,4
Hans-Joachim Klein,1,0,3,4
