Name,Bronze,Gold,Silver,Total
WANG HAO,0,2,3,5
WANG NAN,0,4,1,5
CHEN JING,1,1,2,4
DENG YAPING,0,4,0,4
DIMITRIJ OVTCHAROV,3,0,1,4
DING NING,0,3,1,4
GUO YUE,2,2,0,4
LI XIAOXIA,0,3,1,4
LIU GUOLIANG,1,2,1,4
MA LONG,0,4,0,4
QIAO HONG,1,2,1,4
WANG LIQIN,2,2,0,4
YU NAM-GYU,3,1,0,4
ZHANG JIKE,0,3,1,4
ZHANG YINING,0,4,0,4
FENG TIAN WEI,2,0,1,3
HYEON JEONG-HWA,2,1,0,3
KONG LINGHUI,0,2,1,3
MA LIN,0,3,0,3
SUN YINGSHA,0,2,1,3
TIMO BOLL,2,0,1,3
WANG TAO,0,1,2,3
YU SEUNG-MIN,1,1,1,3
AI FUKUHARA,1,0,1,2
BASTIAN STEGER,2,0,0,2
CHEN MENG,0,2,0,2
FAN ZHENDONG,0,2,0,2
HAYATA HINA,1,0,1,2
JAN-OVE WALDNER,0,1,1,2
JEAN-PHILIPPE GATIEN,1,0,1,2
JIAO ZHIMIN,1,0,1,2
JRG ROKOPF,1,0,1,2
JUN MIZUTANI,1,0,1,2
KASUMI ISHIKAWA,1,0,1,2
KIM GYEONG-A,2,0,0,2
KIM TAEK-SU,2,0,0,2
LEBRUN FELIX,2,0,0,2
LEE CHEOL-SEUNG,2,0,0,2
LI BUN-HUI,2,0,0,2
LI JIA WEI,1,0,1,2
LI JU,0,1,1,2
LU LIN,0,1,1,2
MOREGARD TRULS,0,0,2,2
O SANG-EUN,1,0,1,2
SHIN YUBIN,2,0,0,2
WANG CHUQIN,0,2,0,2
WANG JUE GU,1,0,1,2
YU JI-HYE,2,0,0,2
AN JAE-HYEONG,1,0,0,1
CHEN LONGCAN,0,1,0,1
CHEN QI,0,1,0,1
CHEN ZIHE,0,0,1,1
CHRISTIAN S,0,0,1,1
DANG YE-SEO,1,0,0,1
ERIK GUNNAR LINDH,1,0,0,1
FINN PETER TUGWELL,1,0,0,1
GANG HUI-CHAN,1,0,0,1
GAUZY SIMON,1,0,0,1
GORDANA PERKUIN,1,0,0,1
HARIMOTO MIWA,0,0,1,1
HIRANO MIU,0,0,1,1
HONG CHA-OK,1,0,0,1
ILIJA LUPULESKU,0,0,1,1
"JASNA FAZLI-REED (-LUPULESKU-, -RATHER)",1,0,0,1
JEON JIHEE,1,0,0,1
JU SE-HYEOK,0,0,1,1
JUN GAO (-CHANG),0,0,1,1
KALLBERG ANTON,0,0,1,1
KARLSSON KRISTIAN,0,0,1,1
KIM GI-TAEK,0,0,1,1
KIM HYANG-MI,0,0,1,1
KIM KUM YONG,0,0,1,1
KIM MU-GYO,1,0,0,1
KIM SONG-I,1,0,0,1
KO LAI CHAK,0,0,1,1
KOKI NIWA,0,0,1,1
LEBRUN ALEXIS,1,0,0,1
LEE EUN-SIL,0,0,1,1
LEE EUNHYE,1,0,0,1
LI CHING,0,0,1,1
LI HUIFEN,0,0,1,1
LIM JONGHOON,1,0,0,1
LIU SHIWEN,0,1,0,1
LIU WEI,0,0,1,1
MA WENGE,1,0,0,1
MAHARU YOSHIMURA,0,0,1,1
MICHAEL JOHN MAZE,1,0,0,1
MIMA ITO,1,0,0,1
NIU JIANFENG,1,0,0,1
PARK HAE-JEONG,1,0,0,1
PARK MI-YEONG,1,0,0,1
PATRICK CHILA,1,0,0,1
PETRISSA SOLJA,0,0,1,1
QIAO YUNPING,0,0,1,1
RI JONG SIK,0,0,1,1
SAYAKA HIRANO,0,0,1,1
SEIKO ISEKI,0,1,0,1
SEOG EUN-MI,0,0,1,1
STEFFEN FETZNER,0,0,1,1
SUN JIN,0,0,1,1
WANG MANYU,0,1,0,1
XIAONA SHAN,0,0,1,1
XU XIN,0,1,0,1
YAN SEN,0,1,0,1
YANG YEONG-JA,0,1,0,1
YANG YING,0,0,1,1
YING HAN,0,0,1,1
YOON JAE-YOUNG,1,0,0,1
YU SUN-BOK,1,0,0,1
ZORAN PRIMORAC,0,0,1,1
